model,topk,d_sae,val_ev,dead_pct,separable_pct,faith_mean,prs_mean,composite
M17,256,1536,0.9637237859033024,0.0,3.515625,0.9833559649374003,0.9873380188957702,0.9598350553338353
M19,256,6144,0.9664177153332564,0.0,0.2115885416666666,0.9842071479426219,0.9899581791836096,0.9045645250368282
M18,256,3072,0.965112158926247,0.0,0.3580729166666666,0.9828669540398661,0.9893519057999703,0.8713652953718037
M20,256,12288,0.967374972512508,0.0,0.2360026041666666,0.98278529389359,0.9789405824321944,0.8351835640980689
M13,128,1536,0.9441610453860072,0.0,0.1953125,0.9757616085142734,0.97887796922231,0.7576700090213269
M16,128,12288,0.948280751315838,0.0,0.0244140625,0.9765631595062939,0.9724786145881035,0.7234835644234607
M14,128,3072,0.9464991526720764,0.0,0.0651041666666666,0.9776699666091854,0.9829486821873576,0.7165256339569416
M15,128,6144,0.9479866979846334,0.0,0.048828125,0.9790267102877378,0.9830846665773254,0.7159980301208666
M10,64,3072,0.9215764773629852,0.0,0.0,0.967944580002511,0.9717355788537058,0.593398781448326
M11,64,6144,0.9226739372315,0.146484375,0.0,0.9683563450916797,0.9714570737494137,0.5904515048082815
M9,64,1536,0.9185731502243178,0.0,0.0,0.9670109460933883,0.9688423560788451,0.5752372695818139
M12,64,12288,0.9227952490620768,0.68359375,0.0,0.9679419737439264,0.964764165234684,0.5730451491180057
M5,32,1536,0.8836312394735407,2.994791666666667,0.0,0.9522819205522763,0.9535490077422885,0.403846045021935
M7,32,6144,0.8877563485583526,18.766276041666664,0.0,0.9541473717480391,0.9561504932500765,0.387422963624513
M6,32,3072,0.8865289100555135,9.27734375,0.0,0.9520774958045352,0.9539520187186886,0.38222567586935763
M8,32,12288,0.8883295125139801,28.37727864583333,0.0,0.9536458984193901,0.95081604863545,0.35542405507465
M1,16,1536,0.8357012443698617,33.26822916666667,0.0,0.9299531955926886,0.9298225653495464,0.08792504680382394
M2,16,3072,0.8386346394296946,49.609375,0.0,0.932371159467108,0.9333557953575075,0.08348460112031542
M3,16,6144,0.8397984033873703,65.02278645833334,0.0,0.9318998366512121,0.9331711872555759,0.05450935542851061
M4,16,12288,0.8404108511390915,76.10677083333334,0.0,0.9318873742526517,0.9299975122165897,0.014865383464950095
