atom_id,category,n_enriched_concepts,enriched_concepts,fire_count,fire_pct,contributes_to
1166,Uninformative,0,,3,0.0003749835944677,
1167,Separable,1,TXT:Sinus rhythm with bigeminal PVCs,9360,1.169948814739355,
1168,Uninformative,0,,6,0.0007499671889354,
1169,Separable,1,TXT:Anterolateral infarct - age undetermined,35489,4.435930928021899,
1170,Uninformative,0,,19,0.0023748960982956,
1171,Uninformative,0,,473,0.0591224133944139,
1172,Uninformative,0,,61183,7.64754042010662,
1173,Uninformative,0,,2208,0.2759879255282581,
1174,Dead,0,,0,0.0,
1175,Uninformative,0,,40482,5.060028623747711,
1176,Uninformative,0,,8772,1.0964520302236778,
1177,Uninformative,0,,9652,1.2064472179342154,
1178,Uninformative,0,,67839,8.47950402169905,
1179,Uninformative,0,,137,0.0171242508140268,
1180,Uninformative,0,,13,0.0016249289093602,
1181,Uninformative,0,,22,0.0027498796927634,
1182,Uninformative,0,,150101,18.76180417106752,
1183,Uninformative,0,,1838,0.2297399488772366,
1184,Uninformative,0,,28297,3.536970257551232,
1185,Separable,1,TXT:Probable supraventricular tachycardia,10618,1.3271919353528283,
1186,Uninformative,0,,2,0.0002499890629784,
1187,Uninformative,0,,5,0.0006249726574462,
1188,Uninformative,0,,7428,0.9284593799021292,
1189,Uninformative,0,,7632,0.9539582643259358,
1190,Uninformative,0,,42,0.0052497703225483,
1191,Dead,0,,0,0.0,
1192,Uninformative,0,,17,0.0021249070353172,
1193,Uninformative,0,,28569,3.5709687701163078,
1194,Uninformative,0,,25436,3.179360902960496,
1195,Separable,1,TXT:Marked sinus bradycardia,15000,1.8749179723387104,
1196,Uninformative,0,,23615,2.951745861118576,
1197,Uninformative,0,,30362,3.795083965076528,
1198,Separable,1,TXT:Marked sinus bradycardia,16588,2.073409288343635,
1199,Uninformative,0,,3082,0.3852331460498603,
1200,Uninformative,0,,30,0.0037498359446774,
1201,Uninformative,0,,3,0.0003749835944677,
1202,Uninformative,0,,12714,1.5891804733542907,
1203,Dead,0,,0,0.0,
1204,Entangled,3,"TXT:Sinus rhythm with bigeminal PVCs; TXT:Atrial flutter with uncontrolled ventric; TXT:Extreme tachycardia with wide complex, n",30730,3.8410819526645703,
1205,Uninformative,0,,83,0.0103745461136075,
1206,Uninformative,0,,3,0.0003749835944677,
1207,Uninformative,0,,2,0.0002499890629784,
1208,Uninformative,0,,13763,1.7202997368865112,
1209,Entangled,2,"TXT:Abnormal R-wave progression, early trans; TXT:RBBB and LAFB",36080,4.509802696132044,
1210,Uninformative,0,,163,0.0203741086327473,
1211,Entangled,2,TXT:Atrial fibrillation with slow ventricula; TXT:Marked sinus bradycardia,40283,5.035154711981351,
1212,Uninformative,0,,46878,5.859493647152937,
1213,Uninformative,0,,25,0.0031248632872311,
1214,Uninformative,0,,15,0.0018749179723387,
1215,Uninformative,0,,16360,2.0449105351640866,
1216,Uninformative,0,,1,0.0001249945314892,
1217,Uninformative,0,,28394,3.549094727105689,
1218,Uninformative,0,,8249,1.0310798902548013,
1219,Uninformative,0,,3041,0.3801083702588012,
1220,Separable,1,TXT:Atrial-sensed ventricular-paced rhythm,13813,1.7265494634609737,
1221,Uninformative,0,,7056,0.8819614141881292,
1222,Uninformative,0,,27559,3.444724293312168,
1223,Separable,1,TXT:RBBB and LAFB,42769,5.34589111726362,
1224,Dead,0,,0,0.0,
1225,Uninformative,0,,1,0.0001249945314892,
1226,Uninformative,0,,11968,1.4959345528633123,
1227,Uninformative,0,,3991,0.4988531751735862,
1228,Uninformative,0,,41496,5.186773078677808,
1229,Uninformative,0,,26198,3.274606735955302,
1230,Uninformative,0,,5781,0.7225933865393389,
1231,Uninformative,0,,43256,5.406763454098884,
1232,Uninformative,0,,5302,0.6627210059559894,
1233,Contributing,0,,90163,11.269881942665007,TXT:Atrial pacing; TXT:Junctional rhythm
1234,Uninformative,0,,8380,1.0474541738798928,
1235,Uninformative,0,,71024,8.877611604492303,
1236,Uninformative,0,,37,0.0046247976651021,
1237,Uninformative,0,,2,0.0002499890629784,
1238,Uninformative,0,,794,0.0992456580024623,
1239,Uninformative,0,,55787,6.973069928190641,
1240,Uninformative,0,,87,0.0108745242395645,
1241,Uninformative,0,,12469,1.5585568131394252,
1242,Uninformative,0,,11393,1.424062697256995,
1243,Separable,1,TXT:Marked sinus bradycardia,6848,0.8559625516383659,
1244,Separable,1,TXT:Marked sinus bradycardia,8306,1.0382045785496885,
1245,Uninformative,0,,8718,1.0897023255232583,
1246,Entangled,2,TXT:Atrial fibrillation with slow ventricula; TXT:Possible idioventricular rhythm with slo,22521,2.81500184366934,
1247,Uninformative,0,,29823,3.727711912603824,
1248,Uninformative,0,,44191,5.52363334104133,
1249,Uninformative,0,,22,0.0027498796927634,
1250,Uninformative,0,,26330,3.2911060141118824,
1251,Uninformative,0,,44255,5.531632991056641,
1252,Entangled,5,TXT:Ventricular pacing; TXT:A-V sequential pacemaker; TXT:Extensive infarct - age undetermined; TXT:Accelerated idioventricular rhythm; TXT:Atrial-sensed ventricular-paced rhythm,32631,4.07869655702563,
1253,Uninformative,0,,1,0.0001249945314892,
1254,Uninformative,0,,66010,8.250889023605218,
1255,Uninformative,0,,34528,4.315811183260732,
1256,Uninformative,0,,17,0.0021249070353172,
1257,Uninformative,0,,17062,2.1326566962695384,
1258,Uninformative,0,,629,0.0786215603067365,
1259,Uninformative,0,,52053,6.506340347609792,
1260,Uninformative,0,,71901,8.987231808608373,
1261,Uninformative,0,,1,0.0001249945314892,
1262,Uninformative,0,,37564,4.695294580862087,
1263,Uninformative,0,,1,0.0001249945314892,
1264,Uninformative,0,,64,0.0079996500153118,
1265,Uninformative,0,,3444,0.4304811664489678,
1266,Uninformative,0,,33938,4.242064409682077,
1267,Uninformative,0,,44516,5.564256563775335,
1268,Uninformative,0,,33179,4.147193560281738,
1269,Uninformative,0,,27781,3.4724730793027807,
1270,Uninformative,0,,15,0.0018749179723387,
1271,Uninformative,0,,525,0.0656221290318548,
1272,Uninformative,0,,3,0.0003749835944677,
1273,Entangled,4,"TXT:Abnormal R-wave progression, early trans; TXT:RBBB and LAFB; TXT:ST elev, probable normal early repol pat; TXT:Atrial-sensed ventricular-paced rhythm",102281,12.784565675251708,TXT:Atrial pacing; TXT:Tall T waves - consider acute ischemia o
1274,Uninformative,0,,26436,3.304355434449743,
1275,Uninformative,0,,1551,0.1938665183398226,
1276,Uninformative,0,,33285,4.160442980619598,
1277,Uninformative,0,,41993,5.248895360827964,
1278,Uninformative,0,,8912,1.1139512646321723,
1279,Uninformative,0,,9,0.0011249507834032,
1280,Uninformative,0,,697,0.0871211884480054,
1281,Uninformative,0,,16260,2.032411082015162,
1282,Uninformative,0,,2,0.0002499890629784,
1283,Uninformative,0,,6700,0.8374633609779573,
1284,Uninformative,0,,3,0.0003749835944677,
1285,Uninformative,0,,5724,0.7154686982444518,
1286,Uninformative,0,,26406,3.300605598505065,
1287,Uninformative,0,,78275,9.783946952320836,
1288,Uninformative,0,,37824,4.727793159049291,
1289,Uninformative,0,,2093,0.2616135544069947,
1290,Uninformative,0,,19232,2.403894829601205,
