atom_id,category,n_enriched_concepts,enriched_concepts,fire_count,fire_pct,category_grouped,n_enriched_groups,enriched_groups,entangled_subtype
715,Entangled,2,TXT:Sinus rhythm with bigeminal PVCs; TXT:Marked sinus bradycardia,27913,3.488972357459361,Entangled,2,bradycardia; pvc,Mixed
716,Uninformative,0,,15069,1.883542595011468,Uninformative,0,,
717,Separable,1,TXT:Marked sinus bradycardia,5364,0.6704706669083228,Separable,1,bradycardia,
718,Uninformative,0,,7,0.0008749617204247,Uninformative,0,,
719,Uninformative,0,,23,0.0028748742242526,Uninformative,0,,
720,Uninformative,0,,13631,1.7038004587299305,Uninformative,0,,
721,Uninformative,0,,6863,0.8578374696107045,Uninformative,0,,
722,Uninformative,0,,6377,0.7970901273069303,Uninformative,0,,
723,Uninformative,0,,9731,1.216321785921866,Uninformative,0,,
724,Uninformative,0,,68585,8.572749942190029,Uninformative,0,,
725,Uninformative,0,,42763,5.345141150074684,Uninformative,0,,
726,Uninformative,0,,46792,5.848744117444862,Uninformative,0,,
727,Uninformative,0,,21487,2.685757498109458,Uninformative,0,,
728,Separable,1,TXT:Anterolateral infarct - age undetermined,24079,3.009743323729587,Separable,1,infarct_anterolateral,
729,Uninformative,0,,10,0.0012499453148924,Uninformative,0,,
730,Uninformative,0,,17,0.0021249070353172,Uninformative,0,,
731,Uninformative,0,,39219,4.902160530476792,Uninformative,0,,
732,Uninformative,0,,2108,0.2634884723793334,Uninformative,0,,
733,Uninformative,0,,9467,1.1833232296087046,Uninformative,0,,
734,Uninformative,0,,106,0.0132494203378602,Uninformative,0,,
735,Uninformative,0,,39,0.0048747867280806,Uninformative,0,,
736,Uninformative,0,,3455,0.4318561062953496,Uninformative,0,,
737,Uninformative,0,,24410,3.051116513652528,Uninformative,0,,
738,Uninformative,0,,379,0.0473729274344247,Uninformative,0,,
739,Uninformative,0,,9,0.0011249507834032,Uninformative,0,,
740,Separable,1,TXT:Accelerated idioventricular rhythm,71734,8.966357721849668,Separable,1,idioventricular,
741,Uninformative,0,,12,0.0014999343778709,Uninformative,0,,
742,Uninformative,0,,47026,5.877992837813346,Uninformative,0,,
743,Separable,1,"TXT:ST elev, probable normal early repol pat",52851,6.606085983738211,Separable,1,st_changes,
744,Uninformative,0,,20,0.0024998906297849,Uninformative,0,,
745,Uninformative,0,,6957,0.8695869555706938,Uninformative,0,,
746,Uninformative,0,,2,0.0002499890629784,Uninformative,0,,
