feature,rank,atom_id,spearman_r,abs_r,n_records
heart_rate,1,1097,-0.9319145406086692,0.9319145406086692,413
heart_rate,2,839,-0.9070751418140582,0.9070751418140582,645
heart_rate,3,516,-0.8792893322868146,0.8792893322868146,635
heart_rate,4,255,0.8585315573425867,0.8585315573425867,19211
heart_rate,5,1099,-0.8584148586486812,0.8584148586486812,461
heart_rate,6,495,0.8362415398752213,0.8362415398752213,62778
heart_rate,7,442,-0.8076993797156067,0.8076993797156067,904
heart_rate,8,758,-0.8054344138994152,0.8054344138994152,547
heart_rate,9,1238,-0.7976376078558605,0.7976376078558605,614
heart_rate,10,1027,-0.7933857771820719,0.7933857771820719,680
pr_interval,1,839,-0.7978750925719815,0.7978750925719815,823
pr_interval,2,255,-0.5970131302248839,0.5970131302248839,19211
pr_interval,3,800,-0.5787909262431561,0.5787909262431561,8829
pr_interval,4,477,-0.5684171253730067,0.5684171253730067,1859
pr_interval,5,125,-0.5645760302008135,0.5645760302008135,1866
pr_interval,6,758,-0.5533100414515439,0.5533100414515439,730
pr_interval,7,1238,-0.5453671036244897,0.5453671036244897,794
pr_interval,8,768,-0.5391822070560741,0.5391822070560741,6949
pr_interval,9,1353,-0.5303716470938707,0.5303716470938707,2620
pr_interval,10,1110,-0.5282288721765149,0.5282288721765149,1720
qrs_duration,1,1317,-0.6831171690857485,0.6831171690857485,175
qrs_duration,2,456,0.5137493251109426,0.5137493251109426,35
qrs_duration,3,609,0.5131821334723962,0.5131821334723962,19017
qrs_duration,4,1398,0.4748523269443814,0.4748523269443814,33219
qrs_duration,5,829,0.47077503862966175,0.47077503862966175,112
qrs_duration,6,299,0.46996703452173655,0.46996703452173655,12071
qrs_duration,7,1366,0.45883417809923666,0.45883417809923666,6476
qrs_duration,8,1417,0.4505890308357278,0.4505890308357278,2655
qrs_duration,9,668,-0.4490288754776328,0.4490288754776328,522
qrs_duration,10,69,0.4446155166632635,0.4446155166632635,37045
qt_interval,1,1317,-0.6813803288984457,0.6813803288984457,175
qt_interval,2,255,-0.6001400385701909,0.6001400385701909,19211
qt_interval,3,800,-0.5895485614259356,0.5895485614259356,8829
qt_interval,4,768,-0.5871812708934409,0.5871812708934409,6949
qt_interval,5,477,-0.5871111899440341,0.5871111899440341,1859
qt_interval,6,495,-0.587034243309624,0.587034243309624,62778
qt_interval,7,976,0.5813211869474063,0.5813211869474063,14561
qt_interval,8,174,-0.5509504265567311,0.5509504265567311,16987
qt_interval,9,1185,-0.5131116996425426,0.5131116996425426,10618
qt_interval,10,625,0.5107384133356295,0.5107384133356295,41
qtc,1,1317,-0.6345233077822333,0.6345233077822333,175
qtc,2,450,-0.4676406268128346,0.4676406268128346,66
qtc,3,668,-0.45921506525857814,0.45921506525857814,522
qtc,4,456,0.4410673027133983,0.4410673027133983,35
qtc,5,949,-0.4317704661791491,0.4317704661791491,587
qtc,6,829,0.41778250470346723,0.41778250470346723,112
qtc,7,1357,-0.4079872767198165,0.4079872767198165,654
qtc,8,1030,0.4047917709535349,0.4047917709535349,3050
qtc,9,625,0.3935540069686412,0.3935540069686412,41
qtc,10,999,-0.3910364145658263,0.3910364145658263,35
p_axis,1,14,0.5637674329710806,0.5637674329710806,1061
p_axis,2,1317,0.4906605757196676,0.4906605757196676,175
p_axis,3,1067,0.48961077494807015,0.48961077494807015,1755
p_axis,4,456,0.4886002989160367,0.4886002989160367,35
p_axis,5,386,0.47352325284265206,0.47352325284265206,45
p_axis,6,794,-0.46415127420126645,0.46415127420126645,30
p_axis,7,224,0.4441461253420282,0.4441461253420282,4670
p_axis,8,668,0.4333707759972451,0.4333707759972451,522
p_axis,9,542,0.42522992418259326,0.42522992418259326,3553
p_axis,10,1419,0.4251048701706695,0.4251048701706695,47064
qrs_axis,1,1317,0.6360507120254273,0.6360507120254273,175
qrs_axis,2,491,-0.5258156934506035,0.5258156934506035,46
qrs_axis,3,1468,0.4765231950733834,0.4765231950733834,1246
qrs_axis,4,668,0.4723699709867005,0.4723699709867005,522
qrs_axis,5,686,0.45763165872239275,0.45763165872239275,368
qrs_axis,6,516,0.4525130386710152,0.4525130386710152,814
qrs_axis,7,125,0.42239485255701764,0.42239485255701764,1866
qrs_axis,8,1357,0.42130009228439236,0.42130009228439236,654
qrs_axis,9,1069,-0.4201864316074138,0.4201864316074138,6769
qrs_axis,10,442,0.398302059721592,0.398302059721592,1088
t_axis,1,839,0.8180074962164414,0.8180074962164414,823
t_axis,2,442,0.7652529440207423,0.7652529440207423,1088
t_axis,3,516,0.760282576644934,0.760282576644934,814
t_axis,4,1110,0.7316435174878734,0.7316435174878734,1720
t_axis,5,1238,0.72967282283687,0.72967282283687,794
t_axis,6,532,0.7163799583687294,0.7163799583687294,975
t_axis,7,1468,0.7070882333568266,0.7070882333568266,1246
t_axis,8,1027,0.6850186217783664,0.6850186217783664,863
t_axis,9,125,0.6602251666918112,0.6602251666918112,1866
t_axis,10,1317,0.6350209988717304,0.6350209988717304,175
tachycardia,1,1353,0.598342729098432,0.598342729098432,2620
tachycardia,2,1099,-0.575365097607158,0.575365097607158,639
tachycardia,3,563,0.5613395137818018,0.5613395137818018,10486
tachycardia,4,1185,0.5423990746648819,0.5423990746648819,10618
tachycardia,5,1523,0.5392293116329554,0.5392293116329554,2231
tachycardia,6,193,0.5308156005575233,0.5308156005575233,13898
tachycardia,7,255,0.5280762269248137,0.5280762269248137,19211
tachycardia,8,286,0.5184525026489938,0.5184525026489938,22328
tachycardia,9,571,0.5172604591639942,0.5172604591639942,17678
tachycardia,10,768,0.5165686385000275,0.5165686385000275,6949
bradycardia,1,1317,0.6577187388867632,0.6577187388867632,175
bradycardia,2,976,0.5724517278247704,0.5724517278247704,14561
bradycardia,3,356,0.5387117960167714,0.5387117960167714,20429
bradycardia,4,266,0.5379482120601955,0.5379482120601955,5081
bradycardia,5,705,0.5329283483273519,0.5329283483273519,4644
bradycardia,6,781,0.5306367396337338,0.5306367396337338,18694
bradycardia,7,35,0.5016905139720937,0.5016905139720937,14095
bradycardia,8,1244,0.49357798870819736,0.49357798870819736,8306
bradycardia,9,347,0.48734032521114823,0.48734032521114823,8165
bradycardia,10,949,0.47690529321728115,0.47690529321728115,588
wide_qrs,1,1378,0.49529866133633194,0.49529866133633194,9012
wide_qrs,2,658,0.4902301622261432,0.4902301622261432,2603
wide_qrs,3,1417,0.48950998045062927,0.48950998045062927,2655
wide_qrs,4,829,0.48942367459032127,0.48942367459032127,112
wide_qrs,5,569,0.4795437373128915,0.4795437373128915,77174
wide_qrs,6,609,0.4758644828536475,0.4758644828536475,19017
wide_qrs,7,1147,0.47456688891366794,0.47456688891366794,6584
wide_qrs,8,531,0.46833509881040086,0.46833509881040086,4354
wide_qrs,9,1398,0.45655544502741796,0.45655544502741796,33219
wide_qrs,10,383,0.4519472252823745,0.4519472252823745,8683
long_qt,1,829,0.42726944718606613,0.42726944718606613,112
long_qt,2,625,0.3984095364447979,0.3984095364447979,41
long_qt,3,1317,-0.37544239657236816,0.37544239657236816,175
long_qt,4,96,0.37366310768839345,0.37366310768839345,226
long_qt,5,456,0.3689494277557932,0.3689494277557932,35
long_qt,6,967,0.3387654860732452,0.3387654860732452,34
long_qt,7,1030,0.3364749617700997,0.3364749617700997,3050
long_qt,8,299,0.3360727465006427,0.3360727465006427,12071
long_qt,9,703,0.3326432206799282,0.3326432206799282,1810
long_qt,10,458,0.3256573829237272,0.3256573829237272,38
left_axis,1,491,0.4399278203904686,0.4399278203904686,46
left_axis,2,620,0.4300034893961174,0.4300034893961174,5901
left_axis,3,6,-0.4233139056805493,0.4233139056805493,736
left_axis,4,682,0.4102883172784929,0.4102883172784929,70250
