atom_id,heart_rate,pr_interval,qrs_duration,qt_interval,qtc,p_axis,qrs_axis,t_axis,tachycardia,bradycardia,wide_qrs,long_qt,left_axis,right_axis,st_elevation,st_depression
0,-0.07055190724876814,-0.21549381513232896,0.01828523602233918,0.0453279361378611,-0.03195290256479345,0.21479001621836624,2.9619526090565828e-05,-0.04845950365926457,-0.08702000927417992,0.019135662677093764,-0.022044255541417073,-0.02838879166209335,0.007102279424060436,0.02891501138404887,-0.01859398448796131,-0.0011165489921225475
1,-0.39049313916179573,0.16664444034358591,0.24746564842801813,0.37968770588762946,0.010913453315232188,-0.08755842668338827,-0.09510308588022391,-0.004464635622945403,-0.12123081643019833,0.32902138395670494,0.19265906188060114,0.02878044816987122,0.11109387214958244,0.019401844281657407,-0.011378609198771485,0.006120998744907097
2,,,,,,,,,,,,,,,,
3,0.03101279222143354,-0.1575814957295285,0.16513674415815321,0.047621665758567334,0.12716075974902064,0.1687194225041426,-0.21695204647893307,0.05564269501858694,-0.01330724480979624,-0.04167458864303627,0.15562688791349907,0.11422453564917794,0.23132461257463843,-0.005860967400391895,-0.007836314653765006,0.0070113142445276215
4,,,,,,,,,,,,,,,,
5,-0.3150872769214793,-0.43725449676740585,0.25668844006354136,0.19243625061119085,0.18277452653374593,0.2793609670728094,-0.14274042809816126,0.04395494340432847,0.13472042288807118,0.05185078550108501,0.3469180064923835,0.09685930273655931,0.21226324119768847,-0.010034213245915616,-0.1394210010140286,
6,-0.7286794296554772,-0.45930691391788964,-0.0586574825278493,-0.06544326518470478,-0.06758901841775028,0.02689392260603016,0.23471666520470344,0.5543908120862854,-0.23142193640396233,0.1151460580523633,0.02752487118512051,0.06195627096246666,-0.4233139056805493,0.16706377691852572,-0.17502773262462906,-0.05824415550688087
7,-0.1326148528889889,-0.06066233475322471,-0.08279421310208247,0.06502637640899943,-0.05333163753402348,-0.023444980465025533,-0.047446493928686224,-0.021224249820591342,-0.10178536286208818,-0.08066201174402417,-0.09116152825605488,-0.05973170662357289,-0.0033882867888267105,-0.018667873961731644,-0.03269757323222134,-0.01229448744055763
8,0.3883621476369613,-0.025239883081162977,-0.08917391953436525,-0.30427669470777974,0.035331196729931506,9.873824592581264e-06,0.040959112212228144,-0.010420095475392332,0.3887461200145507,-0.13868747291451478,-0.055281248384630874,0.026860380355612792,-0.019927042092778898,0.028863630712988406,0.02211139362955095,0.021781117785163836
9,0.06854115132529445,-0.32095487871532474,-0.10145217609816043,-0.0428108313990646,0.042337238484910736,0.3776290710044073,-0.01573996562929006,-0.0689124359892331,-0.005266731476840105,-0.08127867150976059,-0.12420502687576963,0.03754554389208131,-0.03456457884161504,-0.023111852243180787,-0.029090465472586823,-0.016448299808743235
10,,,,,,,,,,,,,,,,
11,-0.048522675921595135,-0.24594207229978785,-0.0036080237366953455,0.06731850132046437,0.011912951351508853,0.3130283836242229,0.0386126079714283,-0.05823645134315937,-0.09020879867565396,-0.018483645145884436,-0.030975697942899012,0.01702300914193202,-0.04559242645481629,0.04050495034632972,-0.02522892231993744,-0.026596332293187922
12,0.1483406926959424,-0.07583292516699498,0.18769094265146782,-0.02139640160258959,0.2113792290162663,0.08668233968423011,-0.14202204717828779,0.057530029166844916,0.097486315470038,-0.06899650413208358,0.17907960595873607,0.17019411000880855,0.15261763771820255,0.026458189792999232,0.055785278755539194,0.05238748981971725
13,-0.35445419453492977,0.04598620034397417,-0.028740799979343982,-0.012132054333677273,-0.38354546850207094,-0.06373602576399644,0.09952886614845628,-0.0433319295285835,-0.12387756636281345,0.3946433587257156,-0.12235446685783992,-0.12312135090683647,-0.1108180180756326,-0.03359784639578916,0.04301587387081148,-0.014514389879597574
14,0.35330618344251985,-0.508757921994533,0.17916263729756587,-0.20598019137296184,0.17074210680528334,0.5637674329710806,0.21212127502841263,-0.1506528258444655,0.14831317194045968,-0.03864616066340303,0.04770999865177834,0.1174514801750951,-0.10644067089531094,-0.0028401106826590476,0.046972670934690715,-0.04554232831053477
15,0.10533312443350942,0.04028341696105548,0.009343369480009868,-0.05918520136356457,0.03818199287423969,-0.036303836347454314,-0.0426593711009375,0.009613226963695735,-0.04904048920514406,-0.09094894032607223,-0.012757031342415194,0.01851959324974108,-0.0027572341144902314,0.0012021577920513702,0.009901758524136071,0.010587436689042483
16,,,,,,,,,,,,,,,,
17,-0.13888834598735905,0.05620335729695202,-0.03797158215014134,0.13669225856163836,-0.015846892874566195,-0.05005497977696503,-0.026843028715705795,-0.022310181471962228,-0.06611406691744233,0.15280044042396052,-0.08020600814781988,-0.021072270832260372,-0.04007570221641676,-0.023041648122549822,-0.00909662210578646,-0.009463478782773373
18,0.3829815424577099,-0.05720720079530604,-0.1268399771867504,-0.2729487625669605,0.3177702465739724,0.20498420632661324,0.02085718131322885,0.015973794560892134,0.4231108505225787,-0.05773977232865446,0.05764078721797543,0.3177067575620862,0.18803486140884956,,-0.15851216484943242,
19,-0.20363376586139773,-0.24364629400511711,-0.08387640753995172,-0.3183034525867377,-0.06914914830305399,0.07548317836720471,0.3850622823465224,0.5372283801410193,-0.2962669186169176,0.3856404985850959,0.02592650867575097,-0.15173832470836618,-0.22260571852553546,0.44593895927711275,-0.03826698963679088,-0.02676909304937573
20,-0.09838044709298949,0.05662415706602341,0.0024791235393466374,0.014237164748454989,-0.09333509235896979,-0.05025849443029761,0.0494044290256108,0.003943865540495219,-0.07062958707949674,-0.056846296068215695,-0.06007566461647588,-0.07474081612253182,-0.06321283668147064,-0.022282180199489594,-0.010126502468556295,-0.0009594201129015337
21,,,,,,,,,,,,,,,,
22,0.09051405625497957,-0.03448819921096916,-0.05409500859021094,-0.11073820941965923,-0.04160595172598788,0.027119701274682453,0.06502274695608164,-0.0005659676076691189,-0.04797346322672621,-0.11242126577617273,-0.07177335377802276,-0.05580615102057366,-0.06798260085755559,-0.01257387862319114,0.008227429038484032,-0.0073574353824283996
23,-0.7287998848953828,-0.334484459141358,-0.06231569873128444,-0.06257149847487281,-0.064691465014572,0.022545014085290166,0.14628185435492944,0.36561492742897367,-0.3504798196944596,0.16847408603823458,0.08366504106918138,0.021677794527337285,-0.27303773183965047,0.12599213228860945,-0.21276146540849625,
24,-0.2235135483964496,0.017447905408801673,-0.023625063599849762,0.12588432775447003,-0.023950718145037526,-0.060326409503399146,-0.05724526165561942,-0.002630197539470365,-0.07094329564551749,-0.08407835689311371,-0.06998894564588234,-0.021781022982761238,0.038902361432471395,-0.014932034305235955,-0.007917583467542483,-0.0011295029402555415
25,,,,,,,,,,,,,,,,
26,0.05844466866742068,0.01880497739321452,0.29890227945523407,0.14915837904193177,0.2508226919457915,0.04630358732011258,-0.07287583649543532,0.019754930028116475,-0.06513992108186838,-0.036333586223890976,0.2953734351613513,0.22898916724440935,0.13288186342808045,0.10705470263856963,0.029069027231137082,0.046263225080151536
27,-0.23620269368317526,0.1568851855471082,-0.18663780589247447,0.11072227271196147,-0.21263451092912866,0.15264661181965453,0.031727220566661156,0.3050386507451157,-0.10328459605158508,0.24740767008037637,-0.22864539511786855,-0.2113243587315916,0.19592543955837846,0.32280509096395704,0.005451153274382118,
28,,,,,,,,,,,,,,,,
29,0.14801809597961543,0.010447566879127184,-0.009503968200891052,-0.1412108711447222,0.02636817154037689,-0.004100151476947039,-0.02016576164618836,0.003262558873321927,0.026584596804963292,-0.11130519082349177,-0.047679675925535576,-0.01079350914756882,0.04647288017227345,0.006344427858149809,0.020956059200389482,-0.00785398068387933
30,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,
32,-0.20613631987003075,0.08308774429440144,0.017837440088689985,0.12266300886714031,-0.06111674990541362,-0.04930996904780476,0.07375248415677749,0.01670325915548623,-0.1400228088314592,-0.14988538709186536,-0.03374652608633442,-0.05197447184398645,-0.1182721118881984,-0.030824801817263242,-0.007955057988504233,-0.016127918981279604
33,-0.1175695752240253,0.0810338896170274,-0.29372625631235333,-0.08615690731518655,-0.18401027859396338,-0.10773038107133363,-0.13144024359730117,0.04507562324482425,-0.14156103168492237,-0.17412065401883495,-0.10344844623128945,-0.03704195128114676,-0.24694634187431178,-0.04643217440502265,,
34,,,,,,,,,,,,,,,,
35,-0.5456535039488352,0.08635923460076965,0.03414924420977093,0.31759999722166704,-0.2299616685563915,-0.10927256469112792,0.048127317161962745,-0.05089786344692499,-0.12305943882670034,0.5016905139720937,-0.04907125548033507,-0.1446788536042137,-0.04238818995399816,-0.03231160043918205,0.012344836969487656,-0.008027089481621237
36,0.10821280859609085,-0.025010927027203454,0.02992333238131514,-0.05392818333097885,0.02084412410218623,0.023515647650383133,0.06915144842841128,0.0421533941065283,0.007412211213882331,-0.0391592758503017,0.011597809696960329,0.008934444923130622,-0.036479977285183596,0.006934022628091636,0.004003944635156155,0.013706669331912523
